database,chunk_size,overlap,clean,embedding,chunks_processed,time_to_process,used_memory_mb,query_time
milvus,500,100,False,nomic-embed-text,296,9.562135934829712,3.1103973388671875,15.180222988128662
milvus,500,100,True,mxbai-embed-large,296,9.745902299880981,3.1103973388671875,15.566411972045898
milvus,500,100,False,mxbai-embed-large,296,10.474102020263672,3.1103973388671875,14.919522047042847
milvus,500,100,True,bge-m3,296,10.198675155639648,3.1103973388671875,15.01769495010376
milvus,500,100,False,bge-m3,296,9.880744934082031,3.1103973388671875,14.835147142410278
milvus,1000,0,True,nomic-embed-text,278,9.16709303855896,3.1103973388671875,14.665075063705444
milvus,1000,0,False,nomic-embed-text,278,9.416005849838257,3.1103973388671875,15.823130130767822
milvus,1000,0,True,mxbai-embed-large,278,10.055989980697632,3.1103973388671875,14.595289707183838
milvus,1000,0,False,mxbai-embed-large,278,9.471333026885986,3.1103973388671875,15.024565935134888
milvus,1000,0,True,bge-m3,278,10.29541301727295,3.1103973388671875,15.743653774261475
milvus,1000,0,False,bge-m3,278,9.816792011260986,3.1103973388671875,15.069586992263794
milvus,1000,50,True,nomic-embed-text,278,9.90436577796936,3.1103973388671875,14.972286939620972
milvus,1000,50,False,nomic-embed-text,278,10.023499011993408,3.1103973388671875,15.07749605178833
milvus,1000,50,True,mxbai-embed-large,278,9.960536241531372,3.1103973388671875,15.03953504562378
milvus,1000,50,False,mxbai-embed-large,278,10.037469148635864,3.1103973388671875,15.667606115341187
milvus,1000,50,True,bge-m3,278,9.370837926864624,3.1103973388671875,14.595582008361816
milvus,1000,50,False,bge-m3,278,9.314939975738525,3.1103973388671875,15.283952236175537
milvus,1000,100,True,nomic-embed-text,279,9.678360939025879,3.1103973388671875,15.555330753326416
milvus,1000,100,False,nomic-embed-text,280,9.48197317123413,3.1103973388671875,15.074718952178955
milvus,1000,100,True,mxbai-embed-large,279,8.807504892349243,3.1103973388671875,15.233051776885986
milvus,1000,100,False,mxbai-embed-large,280,9.883316993713379,3.1103973388671875,15.520588159561157
milvus,1000,100,True,bge-m3,279,9.521284818649292,3.1103973388671875,15.481736898422241
milvus,1000,100,False,bge-m3,280,9.431424140930176,3.1103973388671875,15.120094060897827
